[u'mc', u'01', u'00001698', u'00000000', u'00000000', u'00000000', u'0b07', u'9a', u'000c2d47', u'a0:0']
[u'mr', u'01', u'00001634', u'00000000', u'00000000', u'00000000', u'0b07', u'9a', u'40494049', u'a0:0']
[u'mc', u'01', u'00001665', u'00000000', u'00000000', u'00000000', u'0b08', u'9b', u'000c2e5f', u'a0:0']
[u'mr', u'01', u'00001601', u'00000000', u'00000000', u'00000000', u'0b08', u'9b', u'40494049', u'a0:0']
[u'mc', u'01', u'000016a2', u'00000000', u'00000000', u'00000000', u'0b09', u'9c', u'000c2f77', u'a0:0']
[u'mr', u'01', u'0000163e', u'00000000', u'00000000', u'00000000', u'0b09', u'9c', u'40494049', u'a0:0']
[u'mc', u'01', u'0000168f', u'00000000', u'00000000', u'00000000', u'0b0a', u'9d', u'000c308f', u'a0:0']
[u'mr', u'01', u'0000162b', u'00000000', u'00000000', u'00000000', u'0b0a', u'9d', u'40494049', u'a0:0']
[u'mc', u'01', u'00001685', u'00000000', u'00000000', u'00000000', u'0b0b', u'9e', u'000c31a7', u'a0:0']
[u'mr', u'01', u'00001621', u'00000000', u'00000000', u'00000000', u'0b0b', u'9e', u'40494049', u'a0:0']
[u'mc', u'01', u'00001669', u'00000000', u'00000000', u'00000000', u'0b0c', u'9f', u'000c32bf', u'a0:0']
[u'mr', u'01', u'00001605', u'00000000', u'00000000', u'00000000', u'0b0c', u'9f', u'40494049', u'a0:0']
[u'mc', u'01', u'00001652', u'00000000', u'00000000', u'00000000', u'0b0d', u'a0', u'000c33d7', u'a0:0']
[u'mr', u'01', u'000015ee', u'00000000', u'00000000', u'00000000', u'0b0d', u'a0', u'40494049', u'a0:0']
